SERVICIO;TIPO;IMPORTE;"ES BONO";"NUM. CITAS";ESTADO;COLOR;DURACION;ODONTOGRAMA;DESCRIPCION;"PRECIO COSTE";"PRECIO PUBLICO";IVA;DESCUENTO;RETENCION;"MARGEN CADUCIDAD";MUTUA;ONLINE
"Ortodoncia Invisible (de 29 a 42 aliñadores)";ORTODONCIA;3250;No;1;Activo;32;45;TRATAMIENTO;;0;3250;0;0;0;0;;No
"Ortodoncia Invisible (de 43 a 56 aliñadores)";ORTODONCIA;4000;No;1;Activo;32;30;TRATAMIENTO;;0;4000;0;0;0;0;;No
"Retención ortodontica";ORTODONCIA;150;No;1;Activo;32;30;TRATAMIENTO;;0;150;0;0;0;0;;No
"Tratamiento de Ortodoncia (12 meses)";ORTODONCIA;2100;No;1;Activo;32;30;TRATAMIENTO;;0;2100;0;0;0;0;;No
Bio-Oss;"Cirugía Oral y Maxilofacial";180;No;1;Activo;;45;TRATAMIENTO;;0;180;0;0;0;0;;No
"Membrana de colageno";"Cirugía Oral y Maxilofacial";180;No;1;Activo;;45;TRATAMIENTO;;0;180;0;0;0;0;;No
"Preservación alveolar";PERIODONCIA;400;No;1;Activo;12;45;TRATAMIENTO;;0;400;0;0;0;0;;No
"Quitar ataches de alineadores ";ORTODONCIA;200;No;1;Activo;32;45;TRATAMIENTO;;0;200;0;0;0;0;;No
"Extracción Cordal NO Quirúrgica ";"Cirugía Oral y Maxilofacial";150;No;1;Activo;;45;TRATAMIENTO;;0;150;0;0;0;0;;No
"Mensualidad Tratamiento de Ortodoncia";ORTODONCIA;100;No;1;Activo;32;30;TRATAMIENTO;;0;100;0;0;0;0;;No
"Microtornillos Ortodoncia";ORTODONCIA;120;No;1;Activo;32;15;TRATAMIENTO;;0;120;0;0;0;0;;No
"Colocación de Brackets (Por Arcada) ";ORTODONCIA;450;No;1;Activo;32;60;TRATAMIENTO;;0;450;0;0;0;0;;No
"SOBREDENTADURA CON 4 LOCATORS";Protesis;2200;No;1;Activo;10;45;TRATAMIENTO;;0;2200;0;0;0;0;;No
"FULL ARCH ZIRCONIA MONOLITICA (6 Implantes) + Provisional";Protesis;8000;No;1;Activo;10;45;TRATAMIENTO;;0;8000;0;0;0;0;;No
EXPLANTACION;"Cirugía Oral y Maxilofacial";120;No;1;Activo;;30;TRATAMIENTO;;0;120;0;0;0;0;;No
"Colgajo Exploratorio";Odontología;150;No;1;Activo;18;45;TRATAMIENTO;;0;150;0;0;0;0;;No
"Ferulización 2-3 piezas (por motivos periodontales) ";PERIODONCIA;60;No;1;Activo;12;45;TRATAMIENTO;;0;60;0;0;0;0;;No
"Cirugia Resectiva (por Cuadrante)";PERIODONCIA;400;No;1;Activo;12;75;TRATAMIENTO;;0;400;0;0;0;0;;No
"Recubrimiento pulpar (Biodentine)";RESTAURADORA;80;No;1;Activo;20;30;TRATAMIENTO;;0;80;0;0;0;0;;No
Explantacion;"Cirugía Oral y Maxilofacial";100;No;1;Activo;;45;TRATAMIENTO;;0;100;0;0;0;0;;No
"Elevación de seno";"Cirugía Oral y Maxilofacial";200;No;1;Activo;;45;TRATAMIENTO;;0;200;0;0;0;0;;No
"Disyuntor HYRAX";ORTODONCIA;400;No;1;Activo;32;45;TRATAMIENTO;;0;400;0;0;0;0;;No
"Placa de Expansion (inferior)";ORTODONCIA;250;No;1;Activo;32;45;TRATAMIENTO;;0;250;0;0;0;0;;No
"Tratamiento ortodóntico interceptivo parcial (2x4)";ORTODONCIA;120;No;1;Activo;32;45;TRATAMIENTO;;0;120;0;0;0;0;;No
"Compostura de 1 Pieza";Protesis;50;No;1;Activo;10;45;TRATAMIENTO;;0;50;0;0;0;0;;No
"Alargamiento de Corona (por diente)";PERIODONCIA;200;No;1;Activo;12;45;TRATAMIENTO;;0;200;0;0;0;0;;No
"Retenedor Hawley";ORTODONCIA;240;No;1;Activo;32;45;TRATAMIENTO;;0;240;0;0;0;0;;No
"Twin Block";ORTODONCIA;500;No;1;Activo;32;45;TRATAMIENTO;;0;500;0;0;0;0;;No
KID1;ORTODONCIA;1400;No;1;Activo;32;45;TRATAMIENTO;;0;1400;0;0;0;0;;No
"Mensualidad Alineadores";ORTODONCIA;140;No;1;Activo;32;30;TRATAMIENTO;;0;140;0;0;0;0;;No
"Colocación de Alineadores";ORTODONCIA;1400;No;1;Activo;32;45;TRATAMIENTO;;0;1400;0;0;0;0;;No
"Añadir atache Teflon ";Protesis;160;No;1;Activo;10;15;TRATAMIENTO;;0;160;0;0;0;0;;No
Mockup;Protesis;60;No;1;Activo;10;45;TRATAMIENTO;;0;60;0;0;0;0;;No
"Protesis Provisional Removible Parcial de Resina";Protesis;460;No;1;Activo;10;30;TRATAMIENTO;;0;460;0;0;0;0;;No
"Fenestracion canino incluido";"Cirugía Oral y Maxilofacial";350;No;1;Activo;;45;TRATAMIENTO;;0;350;0;0;0;0;;No
"Acceso quirúrgico al seno maxilar vía intraoral";"Cirugía Oral y Maxilofacial";1200;No;1;Activo;;90;TRATAMIENTO;;0;1200;0;0;0;0;;No
