idRegistro;idUsuario;idEmpresa;tipo_operacion;fecha;hora_local;direccion_ip;dispositivo;plataforma;ubicacion;fecha_edicion;usuario_edicion;ip_edicion;descripcion;manual
4226629;209432;24878;3;"2026-02-20 15:00:00";"2026-02-20 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.35981784786031 / Long:2.13839529912695";;;;"Jornada Completa";1
4226630;209432;24878;1;"2026-02-20 18:00:00";"2026-02-20 18:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.35981784786031 / Long:2.13839529912695";;;;"Jornada Completa";1
4227348;208673;24878;0;"2026-02-20 15:00:00";"2026-02-20 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4227349;208673;24878;1;"2026-02-20 20:00:00";"2026-02-20 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4227355;208673;24878;0;"2026-02-19 15:00:00";"2026-02-19 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4227356;208673;24878;1;"2026-02-19 20:00:00";"2026-02-19 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4232524;204021;24878;0;"2026-02-23 15:00:00";"2026-02-23 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4232525;204021;24878;1;"2026-02-23 20:00:00";"2026-02-23 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4233336;214267;24878;0;"2026-02-20 15:00:00";"2026-02-20 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360156 / Long:2.138143";;;;1;1
4233337;214267;24878;1;"2026-02-20 20:00:00";"2026-02-20 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360156 / Long:2.138143";;;;1;1
4233342;214267;24878;0;"2026-02-23 15:00:00";"2026-02-23 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360156 / Long:2.138143";;;;1;1
4233343;214267;24878;1;"2026-02-23 20:00:00";"2026-02-23 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360156 / Long:2.138143";;;;1;1
4237486;209432;24878;0;"2026-02-23 09:03:00";"2026-02-23 09:03:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036989848057 / Long:2.1379236802172503";;;;"Jornada Completa";1
4237487;209432;24878;2;"2026-02-23 14:00:00";"2026-02-23 14:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036989848057 / Long:2.1379236802172503";;;;"Jornada Completa";1
4237488;209432;24878;3;"2026-02-23 15:00:00";"2026-02-23 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036989848057 / Long:2.1379236802172503";;;;"Jornada Completa";1
4237489;209432;24878;1;"2026-02-23 18:10:00";"2026-02-23 18:10:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036989848057 / Long:2.1379236802172503";;;;"Jornada Completa";1
4237491;209432;24878;0;"2026-02-24 09:02:00";"2026-02-24 09:02:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36038003977711 / Long:2.1379242561628935";;;;"Jornada Completa";1
4237492;209432;24878;2;"2026-02-24 14:00:00";"2026-02-24 14:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36038003977711 / Long:2.1379242561628935";;;;"Jornada Completa";1
4237493;209432;24878;3;"2026-02-24 15:00:00";"2026-02-24 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36038003977711 / Long:2.1379242561628935";;;;"Jornada Completa";1
4237494;209432;24878;1;"2026-02-24 18:05:00";"2026-02-24 18:05:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36038003977711 / Long:2.1379242561628935";;;;"Jornada Completa";1
4238559;208673;24878;0;"2026-02-24 15:00:00";"2026-02-24 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;"2026-02-24 15:01:48";208673;90.173.187.34;;0
4238570;208673;24878;1;"2026-02-24 20:00:00";"2026-02-24 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;"2026-02-24 15:01:36";208673;90.173.187.34;"turno tarde ";0
4239437;214267;24878;0;"2026-02-24 15:00:00";"2026-02-24 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360409999999995 / Long:2.1380798773162146";;;;1;1
4239438;214267;24878;1;"2026-02-24 20:00:00";"2026-02-24 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360409999999995 / Long:2.1380798773162146";;;;1;1
4250565;209432;24878;0;"2026-02-25 09:02:00";"2026-02-25 09:02:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036149462977 / Long:2.137850693321132";;;;"Jornada Completa";1
4250566;209432;24878;2;"2026-02-25 14:00:00";"2026-02-25 14:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036149462977 / Long:2.137850693321132";;;;"Jornada Completa";1
4250567;209432;24878;3;"2026-02-25 15:00:00";"2026-02-25 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036149462977 / Long:2.137850693321132";;;;"Jornada Completa";1
4250568;209432;24878;1;"2026-02-25 18:10:00";"2026-02-25 18:10:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036149462977 / Long:2.137850693321132";;;;"Jornada Completa";1
4250578;209432;24878;0;"2026-02-26 09:02:00";"2026-02-26 09:02:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36034633869438 / Long:2.1378040148068425";;;;"Jornada Completa";1
4250579;209432;24878;2;"2026-02-26 14:00:00";"2026-02-26 14:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36034633869438 / Long:2.1378040148068425";;;;"Jornada Completa";1
4250580;209432;24878;3;"2026-02-26 15:00:00";"2026-02-26 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36034633869438 / Long:2.1378040148068425";;;;"Jornada Completa";1
4250581;209432;24878;1;"2026-02-26 18:05:00";"2026-02-26 18:05:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36034633869438 / Long:2.1378040148068425";;;;"Jornada Completa";1
4251121;208673;24878;0;"2026-02-26 15:00:00";"2026-02-26 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat: / Long:";;;;"turno tarde ";1
4251122;208673;24878;1;"2026-02-26 20:00:00";"2026-02-26 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat: / Long:";;;;"turno tarde ";1
