idCita;idSala
132629510;14841
132629723;14840
132634761;14841
132634996;14841
132724443;14841
132732331;14840
132732863;14841
132746037;14840
132752091;14841
132752222;14841
132762130;14840
132772681;14841
132812945;14841
132890995;14841
132901215;14841
132902720;14840
132905457;14841
132905763;14840
132907625;14841
132914550;14840
132916896;14841
132917711;14841
132924569;14841
132933031;14841
132944448;14841
132953680;14841
132963548;14841
133025499;14840
133026827;14840
133034870;14840
133035358;14841
133036359;14840
133046806;14840
133047268;14841
133057191;14841
133059128;14841
133082472;14841
133127987;14841
133136962;14841
133145621;14841
133154130;14841
133160036;14840
133167079;14840
133178769;14841
133181126;14841
133196661;14840
133205147;14841
133213581;14841
133229170;14841
133229241;14840
133230051;14841
133300914;14840
133314692;14841
133318203;14841
133318774;14841
133320163;14841
133320949;14841
133323519;14841
133328015;14840
133331748;14840
133335045;14841
133335168;14841
133338152;14841
133343679;14840
133351951;14841
133369231;14840
133370986;14841
133372851;14841
133390951;14841
133400976;14841
133401092;14841
133408843;14840
133411431;14841
133418920;14840
133428337;14840
133444879;14840
133470841;14841
133478014;14840
133587592;14841
133601778;14841
133605565;14840
133613112;14841
133645387;14840
133679531;14841
133696128;14841
133699002;14840
133701506;14840
133704591;14840
133706789;14840
133709584;14841
133711572;14841
133713732;14841
133741102;14841
133756875;14841
133758715;14841
133761065;14841
133766724;14841
133776441;14841
133783434;14841
133783587;14841
133783984;14841
133825565;14841
133859280;14841
133860020;14841
133868511;14841
133879809;14840
133887146;14840
133894351;14840
133894593;14841
133895899;14840
133896057;14841
133905859;14841
133906102;14840
133934175;14841
133951836;14841
133989125;14841
133989342;14841
133990255;14840
133996304;14840
134019584;14841
134019763;14841
134024689;14840
134027896;14840
134031061;14841
134042457;14841
134049558;14840
134051074;14841
134067911;14840
134071391;14841
134073100;14841
134128809;14840
134152718;14841
134167060;14841
134167378;14840
134168106;14840
134171225;14840
134175690;14840
134193660;14841
134196064;14841
134202765;14840
134218981;14841
134220603;14841
134227714;14841
134228165;14841
134228933;14841
134228992;14840
134229274;14841
134265600;14841
134266012;14841
134273359;14841
134286965;14840
134292095;14841
134302911;14840
134306445;14840
134317145;14841
134323226;14840
134337584;14840
134342849;14841
134346655;14840
134348286;14840
134348351;14840
134356427;14841
134358551;14841
134370309;14841
134370433;14841
134374875;14840
134374906;14841
134429693;14840
134447331;14841
134475328;14841
134475940;14840
134478107;14841
134484780;14841
134484940;14841
134487332;14840
134488374;14840
134491706;14840
134495583;14840
134499557;14840
134518665;14841
134525578;14841
134527670;14841
134528137;14840
134531683;14840
134539683;14841
134539779;14841
134550261;14841
134558933;14841
134562897;14841
134565079;14840
134569311;14841
134587055;14841
134590268;14840
134591789;14841
134592637;14841
134594454;14841
134597323;14841
134598087;14841
134599307;14840
134601142;14841
134617036;14841
134640233;14841
134643059;14840
134643236;14840
134646471;14841
134646603;14840
134657784;14841
134662945;14841
134738375;14841
134738698;14841
134742410;14841
134761730;14841
134779831;14841
134783944;14841
134793041;14841
134802821;14841
134827836;14841
134828403;14841
134830966;14841
134878661;14840
134884892;14840
134885879;14840
134888414;14840
134890439;14840
134893838;14840
134897270;14841
134901052;14840
134903128;14840
134908614;14841
134926442;14840
134927715;14840
134932485;14840
134949153;14841
134959744;14841
134960050;14841
134961099;14841
134971062;14841
134971877;14840
134972397;14841
135005119;14841
135007197;14840
135009737;14841
135010193;14840
135012141;14840
135016547;14841
135018781;14840
135022370;14840
135028403;14841
135066715;14841
135067550;14840
135071010;14841
135076145;14841
135078180;14841
135083066;14840
135083726;14841
135129611;14841
135132631;14841
135184468;14841
135185313;14841
135187166;14840
135188023;14841
135190997;14840
135194461;14841
135204481;14840
135204607;14841
135206640;14840
135210467;14841
135212599;14840
135248871;14841
135250808;14841
135264263;14841
135270855;14841
135275443;14840
135315533;14841
135338849;14841
135374402;14841
135376925;14841
135378958;14841
135379459;14841
135380890;14841
135383192;14841
135388614;14841
135389784;14841
135390845;14841
135393408;14841
135430919;14841
135434316;14841
135441404;14840
135441473;14840
135442207;14840
135443050;14841
135494648;14841
135495566;14841
135497719;14840
135498453;14840
135499707;14841
135501731;14840
135502531;14841
135512263;14841
135512772;14841
135514865;14841
135520135;14840
135520266;14840
135564721;14841
135565125;14841
135568441;14840
135569239;14841
135576450;14840
135578468;14841
135585353;14841
135586046;14841
135610418;14840
135624150;14841
135680094;14841
135682128;14841
135682321;14841
135682414;14841
135685271;14840
135686835;14840
135690649;14841
135692300;14840
135693838;14841
135694938;14841
135695249;14841
135698316;14841
135704622;14841
135704665;14841
135704767;14840
135704825;14841
135706224;14841
135791476;14841
135798156;14841
135803701;14841
135807038;14841
135807852;14841
135813809;14841
135825591;14841
135846418;14841
135867574;14840
135877988;14840
135878204;14840
135879459;14840
135881189;14840
135907962;14841
135922318;14841
135928980;14841
135930552;14840
135936421;14841
135940022;14841
135940673;14841
135956430;14841
135983760;14840
135986266;14841
135988313;14841
135989747;14841
136001055;14840
136005300;14841
136011244;14840
136036667;14841
136043542;14840
136043670;14840
136046293;14841
136048262;14841
136053092;14841
136089152;14841
136089414;14841
136098003;14841
136102960;14840
136103120;14841
136114886;14840
136160750;14840
136219114;14841
136219282;14841
136220359;14841
136221319;14841
136226033;14841
136226680;14841
136227284;14841
136233738;14841
136238116;14841
136239126;14841
136241310;14841
136241745;14841
136242349;14840
136279535;14841
136287815;14841
136301682;14841
136305736;14841
136330616;14840
136338851;14841
136345915;14841
136347686;14841
136348190;14841
136348771;14841
136401030;14841
136405364;14840
136445219;14840
136501678;14841
136508264;14841
136509933;14841
136516202;14841
136517045;14841
136646461;14841
136664760;14841
136721897;14841
136723785;14841
136731443;14841
136752905;14840
136757725;14841
136768716;14841
136769004;14841
136769396;14841
136769599;14841
136773011;14841
136781754;14841
136783134;14841
136804527;14841
136820924;14841
136821034;14840
136821104;14840
136821159;14841
136828920;14840
136834448;14841
136835118;14840
136882938;14840
136907906;14841
136913597;14840
136920418;14841
136921058;14841
136921687;14841
136925053;14841
136932003;14841
136939805;14841
136943905;14841
136944843;14840
136964085;14841
136970958;14841
136973825;14841
136974935;14841
136992543;14841
136998868;14841
137001002;14840
137012109;14841
137034959;14840
137039954;14841
137042215;14840
137056283;14840
137081478;14841
137085333;14841
137085530;14841
137086705;14841
137090470;14840
137095006;14841
137098322;14841
137103450;14840
137103634;14841
137103674;14841
137106329;14841
137107691;14841
137107950;14841
137115639;14840
137116021;14840
137116908;14841
137117022;14841
137118922;14840
137119097;14841
137121173;14841
137121895;14841
137131098;14840
137141437;14841
137147397;14841
137155357;14841
137157167;14841
137171540;14841
137171628;14841
137180352;14840
137183676;14841
137200284;14841
137203836;14841
137207895;14841
137215805;14841
137219276;14841
137219572;14841
137220072;14840
137226883;14841
137227445;14841
137230989;14840
137252734;14840
137256557;14841
137264496;14841
137271111;14841
137298596;14841
137306160;14841
137309235;14841
137309534;14840
137316362;14840
137328366;14840
137336679;14840
137342998;14841
137348126;14841
137356773;14840
137364346;14841
137381471;14841
137391348;14841
137405662;14841
137413760;14841
137419406;14841
137433689;14841
137433755;14840
137439659;14840
137444943;14841
137445445;14841
137457446;14841
137458539;14840
137475863;14840
137476388;14841
137493466;14841
137493619;14841
137494124;14841
137494164;14841
137498744;14841
137498956;14841
137504903;14841
137506977;14840
137528951;14841
137535498;14840
137535623;14841
137543260;14841
